Seed,Baseline,Compressed,Agreement
54,MLP Baseline,MLP Pruned 50%,90.44692737430168
54,MLP Baseline,MLP Pruned 75%,90.44692737430168
54,MLP Baseline,MLP Distilled,74.02234636871509
55,RF Baseline,RF Pruned 50%,88.43575418994413
55,RF Baseline,RF Pruned 75%,82.40223463687151
55,RF Baseline,RF Pruned 87%,75.64245810055866
55,MLP Baseline,MLP Quantized,98.04469273743017
55,MLP Baseline,MLP Pruned 25%,87.59776536312849
55,MLP Baseline,MLP Pruned 50%,89.27374301675978
55,MLP Baseline,MLP Pruned 75%,89.27374301675978
55,MLP Baseline,MLP Distilled,69.88826815642459
56,RF Baseline,RF Pruned 50%,89.60893854748603
56,RF Baseline,RF Pruned 75%,85.19553072625699
56,RF Baseline,RF Pruned 87%,78.37988826815644
56,MLP Baseline,MLP Quantized,97.87709497206704
56,MLP Baseline,MLP Pruned 25%,89.72067039106145
56,MLP Baseline,MLP Pruned 50%,89.72067039106145
56,MLP Baseline,MLP Pruned 75%,89.72067039106145
56,MLP Baseline,MLP Distilled,74.52513966480447
57,RF Baseline,RF Pruned 50%,89.49720670391062
57,RF Baseline,RF Pruned 75%,82.9608938547486
57,RF Baseline,RF Pruned 87%,75.75418994413408
57,MLP Baseline,MLP Quantized,97.70949720670392
57,MLP Baseline,MLP Pruned 25%,89.3854748603352
57,MLP Baseline,MLP Pruned 50%,89.49720670391062
57,MLP Baseline,MLP Pruned 75%,89.49720670391062
57,MLP Baseline,MLP Distilled,76.64804469273743
58,RF Baseline,RF Pruned 50%,91.1731843575419
58,RF Baseline,RF Pruned 75%,84.91620111731844
58,RF Baseline,RF Pruned 87%,78.2122905027933
58,MLP Baseline,MLP Quantized,97.93296089385476
58,MLP Baseline,MLP Pruned 25%,86.36871508379889
58,MLP Baseline,MLP Pruned 50%,86.36871508379889
58,MLP Baseline,MLP Pruned 75%,86.36871508379889
58,MLP Baseline,MLP Distilled,71.62011173184356
59,RF Baseline,RF Pruned 50%,90.44692737430168
59,RF Baseline,RF Pruned 75%,83.74301675977654
59,RF Baseline,RF Pruned 87%,76.4804469273743
59,MLP Baseline,MLP Quantized,97.98882681564245
59,MLP Baseline,MLP Pruned 25%,89.44134078212291
59,MLP Baseline,MLP Pruned 50%,89.44134078212291
59,MLP Baseline,MLP Pruned 75%,89.44134078212291
59,MLP Baseline,MLP Distilled,73.46368715083798
60,RF Baseline,RF Pruned 50%,90.94972067039106
60,RF Baseline,RF Pruned 75%,84.24581005586592
60,RF Baseline,RF Pruned 87%,74.0782122905028
60,MLP Baseline,MLP Quantized,97.43016759776536
60,MLP Baseline,MLP Pruned 25%,90.44692737430168
60,MLP Baseline,MLP Pruned 50%,90.44692737430168
60,MLP Baseline,MLP Pruned 75%,90.44692737430168
60,MLP Baseline,MLP Distilled,71.1173184357542
61,RF Baseline,RF Pruned 50%,90.27932960893855
61,RF Baseline,RF Pruned 75%,83.79888268156425
61,RF Baseline,RF Pruned 87%,77.0391061452514
61,MLP Baseline,MLP Quantized,98.10055865921787
61,MLP Baseline,MLP Pruned 25%,91.11731843575419
61,MLP Baseline,MLP Pruned 50%,91.11731843575419
61,MLP Baseline,MLP Pruned 75%,91.11731843575419
61,MLP Baseline,MLP Distilled,74.46927374301676
62,RF Baseline,RF Pruned 50%,89.27374301675978
62,RF Baseline,RF Pruned 75%,82.2905027932961
62,RF Baseline,RF Pruned 87%,74.1340782122905
62,MLP Baseline,MLP Quantized,97.5977653631285
62,MLP Baseline,MLP Pruned 25%,89.44134078212291
62,MLP Baseline,MLP Pruned 50%,86.03351955307262
62,MLP Baseline,MLP Pruned 75%,86.70391061452514
62,MLP Baseline,MLP Distilled,73.40782122905027
63,RF Baseline,RF Pruned 50%,88.88268156424581
63,RF Baseline,RF Pruned 75%,82.73743016759776
63,RF Baseline,RF Pruned 87%,75.69832402234637
63,MLP Baseline,MLP Quantized,96.70391061452513
63,MLP Baseline,MLP Pruned 25%,89.55307262569832
63,MLP Baseline,MLP Pruned 50%,89.55307262569832
63,MLP Baseline,MLP Pruned 75%,89.55307262569832
63,MLP Baseline,MLP Distilled,72.3463687150838
64,RF Baseline,RF Pruned 50%,90.78212290502793
64,RF Baseline,RF Pruned 75%,85.02793296089386
64,RF Baseline,RF Pruned 87%,79.88826815642457
64,MLP Baseline,MLP Quantized,97.43016759776536
64,MLP Baseline,MLP Pruned 25%,91.00558659217877
64,MLP Baseline,MLP Pruned 50%,91.00558659217877
64,MLP Baseline,MLP Pruned 75%,91.00558659217877
64,MLP Baseline,MLP Distilled,68.65921787709497
65,RF Baseline,RF Pruned 50%,88.88268156424581
65,RF Baseline,RF Pruned 75%,82.23463687150839
65,RF Baseline,RF Pruned 87%,74.0782122905028
65,MLP Baseline,MLP Quantized,98.15642458100558
65,MLP Baseline,MLP Pruned 25%,90.27932960893855
65,MLP Baseline,MLP Pruned 50%,90.0
65,MLP Baseline,MLP Pruned 75%,90.0
65,MLP Baseline,MLP Distilled,73.5195530726257
66,RF Baseline,RF Pruned 50%,89.94413407821229
66,RF Baseline,RF Pruned 75%,83.12849162011173
66,RF Baseline,RF Pruned 87%,73.79888268156425
66,MLP Baseline,MLP Quantized,97.93296089385476
66,MLP Baseline,MLP Pruned 25%,89.3296089385475
