Seed,Model,Entropy
62,MLP Dist,1.6024
63,RF Base,1.5068
63,RF 50%,1.4943
63,RF 75%,1.5203
63,RF 87%,1.5578
63,MLP Base,1.7797
63,MLP Quant,1.7656
63,MLP 25%,1.7816
63,MLP 50%,1.7816
63,MLP 75%,1.7816
63,MLP Dist,1.655
64,RF Base,1.5265
64,RF 50%,1.538
64,RF 75%,1.5478
64,RF 87%,1.5591
64,MLP Base,1.6451
64,MLP Quant,1.6495
64,MLP 25%,1.6162
64,MLP 50%,1.6162
64,MLP 75%,1.6162
64,MLP Dist,1.6002
65,RF Base,1.5086
65,RF 50%,1.515
65,RF 75%,1.5301
65,RF 87%,1.5029
65,MLP Base,1.6184
65,MLP Quant,1.6111
65,MLP 25%,1.6315
65,MLP 50%,1.6492
65,MLP 75%,1.6492
65,MLP Dist,1.5451
66,RF Base,1.5284
66,RF 50%,1.5398
66,RF 75%,1.5223
66,RF 87%,1.5444
66,MLP Base,1.6179
66,MLP Quant,1.6058
66,MLP 25%,1.6385
66,MLP 50%,1.6275
66,MLP 75%,1.5666
66,MLP Dist,1.6733
67,RF Base,1.5034
67,RF 50%,1.5345
67,RF 75%,1.5553
67,RF 87%,1.5686
67,MLP Base,1.516
67,MLP Quant,1.5196
67,MLP 25%,1.6046
67,MLP 50%,1.5472
67,MLP 75%,1.5472
67,MLP Dist,1.6545
68,RF Base,1.5152
68,RF 50%,1.521
68,RF 75%,1.5145
68,RF 87%,1.5271
68,MLP Base,1.7088
68,MLP Quant,1.709
68,MLP 25%,1.684
68,MLP 50%,1.684
68,MLP 75%,1.684
68,MLP Dist,1.5381
69,RF Base,1.5404
69,RF 50%,1.5149
69,RF 75%,1.5284
69,RF 87%,1.5346
69,MLP Base,1.601
69,MLP Quant,1.5989
69,MLP 25%,1.6267
69,MLP 50%,1.6267
69,MLP 75%,1.6267
69,MLP Dist,1.6479
70,RF Base,1.5395
70,RF 50%,1.5411
70,RF 75%,1.5572
70,RF 87%,1.6009
70,MLP Base,1.6647
70,MLP Quant,1.6645
70,MLP 25%,1.678
70,MLP 50%,1.5832
70,MLP 75%,1.5832
70,MLP Dist,1.6166
71,RF Base,1.5288
71,RF 50%,1.5122
71,RF 75%,1.5018
71,RF 87%,1.5256
71,MLP Base,1.7047
71,MLP Quant,1.7052
71,MLP 25%,1.65
71,MLP 50%,1.65
71,MLP 75%,1.65
71,MLP Dist,1.6284
