Seed,Model,Technique,Static_ms,Dynamic_ms
51,RF,Baseline,0.0223,0.024
51,MLP,Baseline,33.8616,34.099
51,XGB,Baseline,0.0238,0.0322
51,MLP,Quant INT8,0.0046,0.0037
51,RF,Quant INT8,0.0173,0.0232
51,XGB,Quant INT8,0.0205,0.0285
51,MLP,Prune 25%,34.2738,34.3423
51,MLP,Prune 50%,33.7749,35.3301
51,MLP,Prune 75%,34.2793,33.7532
51,RF,Prune 50%,0.0169,0.0198
51,RF,Prune 75%,0.0148,0.0134
51,RF,Prune 87%,0.0119,0.0131
51,XGB,Prune 67%,0.0215,0.0278
51,XGB,Prune 83%,0.0155,0.0232
51,XGB,Prune 92%,0.0136,0.0218
51,MLP,Distillation,33.8078,34.9681
52,RF,Baseline,0.022,0.0226
52,MLP,Baseline,34.3897,34.7652
52,XGB,Baseline,0.016,0.0246
52,MLP,Quant INT8,0.0046,0.0038
52,RF,Quant INT8,0.0215,0.0233
52,XGB,Quant INT8,0.0155,0.0258
52,MLP,Prune 25%,32.8465,32.3087
52,MLP,Prune 50%,32.4155,32.5477
52,MLP,Prune 75%,32.364,34.3635
52,RF,Prune 50%,0.0204,0.0212
52,RF,Prune 75%,0.0147,0.0137
52,RF,Prune 87%,0.0115,0.0125
52,XGB,Prune 67%,0.0159,0.0192
52,XGB,Prune 83%,0.0119,0.0176
52,XGB,Prune 92%,0.0134,0.0178
52,MLP,Distillation,32.3444,32.3374
53,RF,Baseline,0.0278,0.0253
53,MLP,Baseline,33.1959,32.5888
53,XGB,Baseline,0.0162,0.0246
53,MLP,Quant INT8,0.0047,0.0041
53,RF,Quant INT8,0.017,0.0233
53,XGB,Quant INT8,0.0162,0.0318
53,MLP,Prune 25%,33.4385,34.2563
53,MLP,Prune 50%,33.8751,33.9937
53,MLP,Prune 75%,34.7314,34.8329
53,RF,Prune 50%,0.0206,0.0168
53,RF,Prune 75%,0.0154,0.0139
53,RF,Prune 87%,0.013,0.0112
53,XGB,Prune 67%,0.0157,0.0209
53,XGB,Prune 83%,0.0144,0.0224
53,XGB,Prune 92%,0.0113,0.0178
53,MLP,Distillation,34.9862,33.0644
54,RF,Baseline,0.0219,0.024
54,MLP,Baseline,33.5569,33.1337
54,XGB,Baseline,0.0159,0.026
54,MLP,Quant INT8,0.0047,0.0043
54,RF,Quant INT8,0.0226,0.0232
54,XGB,Quant INT8,0.0201,0.0241
54,MLP,Prune 25%,32.9738,32.9985
54,MLP,Prune 50%,33.14,33.1678
54,MLP,Prune 75%,33.3493,33.0067
54,RF,Prune 50%,0.0216,0.0223
54,RF,Prune 75%,0.0156,0.0137
54,RF,Prune 87%,0.0118,0.0115
54,XGB,Prune 67%,0.0192,0.02
54,XGB,Prune 83%,0.0143,0.0217
54,XGB,Prune 92%,0.0135,0.0176
54,MLP,Distillation,33.0779,32.9064
55,RF,Baseline,0.0231,0.0173
55,MLP,Baseline,37.7981,35.1484
55,XGB,Baseline,0.0209,0.0269
55,MLP,Quant INT8,0.0047,0.0038
55,RF,Quant INT8,0.0234,0.023
55,XGB,Quant INT8,0.0158,0.0267
55,MLP,Prune 25%,34.7997,34.436
55,MLP,Prune 50%,34.6983,34.8349
55,MLP,Prune 75%,34.5638,34.4369
55,RF,Prune 50%,0.0217,0.0214
55,RF,Prune 75%,0.0149,0.0138
55,RF,Prune 87%,0.0116,0.0112
55,XGB,Prune 67%,0.0153,0.0246
